Real-time detection log initialized.
[2025-04-23 01:31:28] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:31:33] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:31:33] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:31:33] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:31:38] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:31:38] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:31:38] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:31:43] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:31:43] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:31:43] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:31:48] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:31:48] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:31:48] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:31:53] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:31:53] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:31:53] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:31:58] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:31:58] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:31:58] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:32:03] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:32:03] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:32:03] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:32:08] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:32:08] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:32:08] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:32:13] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:32:13] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:32:13] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:32:13] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:32:18] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:32:18] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:32:18] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:32:18] [MISSING] C:\Users\omaar\Desktop\Sentri_SIEM\collected_logs\exported_logs.txt
[2025-04-23 01:32:23] ✅ Real-time detection finished.
[2025-04-23 01:39:41] 🔍 Starting real-time detection scan
[2025-04-23 01:39:41] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:39:46] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:39:51] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:39:56] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:40:01] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:40:06] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:40:11] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:40:16] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:40:21] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:40:26] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:40:32] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:40:32] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:40:37] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:40:37] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:40:42] ✅ Real-time detection finished.
[2025-04-23 01:44:39] 🔍 Starting real-time detection scan
[2025-04-23 01:44:39] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:44:44] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:44:49] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:44:54] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:44:59] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:45:04] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:45:09] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:45:14] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:45:19] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:45:24] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:45:29] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:45:29] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:45:34] [CHECK] C:\Users\omaar\Desktop\Sentri_SIEM\logs\sentrisem_logs.json
[2025-04-23 01:45:34] [ALERT] High frequency detected: Event ID 4625
[2025-04-23 01:45:39] ✅ Real-time detection finished.
[2025-04-23 01:50:41] 🔍 Starting real-time detection scan
[2025-04-23 01:51:41] ✅ Real-time detection finished.
[2025-04-23 02:04:59] 🔍 Starting real-time detection scan
[2025-04-23 02:04:59] 🔍 Starting real-time detection scan
[2025-04-23 02:17:02] 🔍 Starting real-time detection scan
[2025-04-23 02:17:03] 🔍 Starting real-time detection scan
[2025-04-23 02:18:39] 🔍 Starting real-time detection scan
